,rdfs:comment
2268,Bookshops that sell materials intended for use by Two-Spirit people or addressing topics related to Two-Spirit experiences.
2269,Queer people who are Buddhist.
2270,Transgender people who are Buddhist.
2271,LGBTQ+ people who are Calvinists.
2272,"The suppression or prohibition of films by LGBTQ+ filmmakers or about LGBTQ+ people and issues; includes censorship due to religious, moral, political, or social objections."
2273,"Spaces dedicated for use by members of LGBTQ+ communities engaging in various activities, including education, health and wellness services, community support and outreach, etc. Use a more specific term if possible."
2274,"Spaces in which LGBTQ+ young people meet for social, education, recreational, or organizing activities."
2275,Characters in creative works who are queer.
2276,Characters in creative works who are transgender.
2277,Characters in creative works who are Two-Spirit
2278,Queer people who have not yet reached the age of adolescence.
2279,LGBTQ+ children younger than 18 years of age who are currently experiencing or have experienced sexual abuse.
2280,Transgender people who have not yet reached the age of adolescence.
2281,LGBTQ+ people who are members of the Eastern Orthodox Christian Church.
2282,LGBTQ+ people who are Jehovah’s Witnesses. 
2283,LGBTQ+ people who are members of the Mormon Church.
2284,LGBTQ+ members of the anti-papal-primacy Christian denomination that originated with groups that split from the Holy See because they disagreed with essential doctrines.
2285,Queer people who are Christian.
2286,Transgender people who are Christian.
2287,"Organized presentations of films in a single location, often with prizes awarded in various categories; use in reference to film festivals focusing on films created by LGBTQ+ people or featuring LGBTQ+ characters and themes."
2288,"Legal, social, or ethical principles of freedom or entitlement held by queer people."
2289,"Legal, social, or ethical principles of freedom or entitlement held by transgender people."
2290,"Legal, social, or ethical principles of freedom or entitlement held by Two-Spirit people."
2291,
2292,Organized groups primarily composed of LGBTQ+ students.
2293,Co-parenting fathers who are LGBTQ+ people. They may or may not be partners.
2294,Co-parenting people who are LGBTQ+ people. They may or may not be partners.
2295,Co-parenting mothers who are LGBTQ+ people. They may or may not be partners.
2296,"The state, experience, and condition of being an LGBTQ+ parent who is parenting with one or more people."
2297,"Two-Spirit people who seek to entertain an audience by making them laugh, through jokes, slapstick, employing prop comedy, or other amusing means."
2298,"Queer people who seek to entertain an audience by making them laugh, through jokes, slapstick, employing prop comedy, or other amusing means."
2299,"Transgender people who seek to entertain an audience by making them laugh, through jokes, slapstick, employing prop comedy, or other amusing means."
2300,Works consisting of sequential images often accompanied by text; use in reference to comics focusing on queer characters or themes.
2301,Works consisting of sequential images often accompanied by text; use in reference to comics focusing on transgender characters or themes.
2302,Works consisting of sequential images often accompanied by text; use in reference to comics focusing on megasexual characters or themes.				
2303,Works consisting of sequential images often accompanied by text; use in reference to comics focusing on non-binary characters or themes.
2304,Works consisting of sequential images often accompanied by text; use in reference to comics focusing on Māhū characters or themes.
2305,Works consisting of sequential images often accompanied by text; use in reference to comics focusing on Two-Spirit characters or themes.
2306,Groups of LGBTQ+ people living in community and sharing possessions and responsibilities.
